ticker,name_entity,factsetid,type_entity,name_participant,title,type_participant,event,event_phase,timestamps_start,timestamps_end,transcription_value,speaker_confidence,transcription_confidence,quality_snr,quality_rt60,angry,happy,neutral,sad,arousal,dominance,valence,f0_minimum,f0_maximum,f0_average,f0_variation,loudness_minimum,loudness_maximum,loudness_average,loudness_variation,speaking_rate,speaking_rate_variation,intonation_score
BA,The Boeing Co.,000CYC-E,PUBLIC_COMPANY,Matt Welch,VP,CORPORATE_REPRESENTATIVE,Q4 2024,PREPARED_REMARKS,54.49,55.87,"Thank you, and good morning.",1.0,0.9491975252173912,19.450849533081055,0.062467098236083,0.02116868853893,0.750687958268422,0.219023909434773,0.009119443757873,0.036537051200866,0.308456540107727,0.499012947082519,89.06287384033203,149.81468200683594,118.9585952758789,16.497201919555664,0.038605090230703,1.94533622264862,0.681096076965332,0.518163383007049,4.44444465637207,0.044347111135721,0.89063274860382
BA,The Boeing Co.,000CYC-E,PUBLIC_COMPANY,Matt Welch,VP,CORPORATE_REPRESENTATIVE,Q4 2024,PREPARED_REMARKS,56.01,58.33,Welcome to Boeing's quarterly earnings call.,1.0,0.995790681034482,22.201379776000977,-0.008960425853729,0.001734834175074,0.828386045252927,0.167890366660099,0.001988753911897,0.000439882278442,0.286316752433776,0.533335447311401,80.25328826904297,171.19558715820312,119.41307830810548,17.617521286010742,0.055934756994247,1.92575979232788,0.652495563030242,0.442860603332519,4.216866970062256,0.097590006887912,0.96231609582901
BA,The Boeing Co.,000CYC-E,PUBLIC_COMPANY,Matt Welch,VP,CORPORATE_REPRESENTATIVE,Q4 2024,PREPARED_REMARKS,58.33,68.75,"I am Matt Welch, and with me today are Kelly Ortberg, Boeing's President and Chief Executive Officer and Brian West, Boeing's Executive Vice President and Chief Financial Officer.",0.9999999950980052,0.96046747056506,20.532142639160156,0.094302117824554,0.008790310977009,0.058321766591559,0.931980241095646,0.000907681335784,-0.043486535549163,0.233267903327941,0.199674129486083,54.45594787597656,210.6399688720703,110.30467987060548,17.456989288330078,0.039855182170867,2.241887092590332,0.661844551563262,0.510757744312286,4.6583852767944345,0.088033430278301,0.7703976631164551
BA,The Boeing Co.,000CYC-E,PUBLIC_COMPANY,Matt Welch,VP,CORPORATE_REPRESENTATIVE,Q4 2024,PREPARED_REMARKS,70.165,74.66499,"As a reminder, you can follow today's broadcast and slide presentation atboeing.com.",0.8885950120201461,0.973311711420278,19.50286865234375,-0.005461752414703,0.003131233576889,0.255742996639584,0.7385424120170191,0.002583357766506,-0.125514030456542,0.094557285308837,0.233165740966796,84.51741790771484,218.2109375,111.22703552246094,20.500656127929688,0.072366178035736,2.432512283325195,0.74012267589569,0.49531477689743,4.032258033752441,0.077385857701301,0.6370723247528071
BA,The Boeing Co.,000CYC-E,PUBLIC_COMPANY,Matt Welch,VP,CORPORATE_REPRESENTATIVE,Q4 2024,PREPARED_REMARKS,76.485,89.52,"Projections, estimates and goals included in today's discussion involve risks, including those described in our SEC filings and in the forward looking statement disclaimer at the beginning of the presentation.",0.989832745632612,0.989307180808711,19.634851455688477,0.133976876735687,0.001604829137113,0.040302614206873,0.9508699695561872,0.007222587099825,-0.195230066776275,0.078250527381896,-0.057415008544921,84.96307373046875,210.7512359619141,108.13414001464844,19.40492248535156,0.035680141299963,2.158006429672241,0.597364783287048,0.457141369581222,4.210526466369629,0.097158342599868,0.8315291404724121
BA,The Boeing Co.,000CYC-E,PUBLIC_COMPANY,Matt Welch,VP,CORPORATE_REPRESENTATIVE,Q4 2024,PREPARED_REMARKS,91.1,97.52,We also refer you to the disclosures relating to non GAAP measures in our earnings release and presentation.,0.801308723036605,0.9979547167632412,22.35615921020508,0.196682155132293,0.005478449583766,0.085739268992827,0.8992403496876341,0.009541931735772,-0.088732540607452,0.161716818809509,0.110086679458618,88.77667236328125,153.33554077148438,110.73548889160156,10.91491413116455,0.031022049486637,2.260979890823364,0.7627592086791991,0.448016762733459,4.044117927551269,0.106466263532638,0.59232085943222
BA,The Boeing Co.,000CYC-E,PUBLIC_COMPANY,Matt Welch,VP,CORPORATE_REPRESENTATIVE,Q4 2024,PREPARED_REMARKS,98.795,101.295,Now I will turn the call over to Kelly Ortberg.,0.9999999604185812,0.9639675345499992,23.50303840637207,0.182771623134613,0.007282691012112,0.037928077924291,0.950774354958782,0.004014876104814,-0.136543273925781,0.116512656211853,0.233616709709167,93.77053833007812,163.03424072265625,108.85437774658205,11.528512954711914,0.033932417631149,2.295110464096069,0.784858286380767,0.5300742983818051,4.4871792793273935,0.099618315696716,0.827302575111389
BA,The Boeing Co.,000CYC-E,PUBLIC_COMPANY,Robert Ortberg,CEO,CORPORATE_REPRESENTATIVE,Q4 2024,PREPARED_REMARKS,102.715,106.655,"Thanks, Matt, and thanks to everyone for joining today's call.",1.0,0.96044394771298,23.1861515045166,0.222039222717285,0.004374776210691,0.747707770522089,0.241565389668561,0.006352063598657,-0.094329595565795,0.216275334358215,0.350379943847656,113.7348861694336,207.3303985595703,138.08285522460938,19.733333587646484,0.036808613687753,2.648091316223144,0.77399080991745,0.58114868402481,3.651684999465942,0.129713684320449,0.628251135349273
BA,The Boeing Co.,000CYC-E,PUBLIC_COMPANY,Robert Ortberg,CEO,CORPORATE_REPRESENTATIVE,Q4 2024,PREPARED_REMARKS,107.19499,119.63,"Before I get into the Q4 earnings, let me first offer our thoughts and deepest condolences for the families and loved ones of boats onboard Jeju Air Flight 2,216.",0.944833397167834,0.9300435055553712,21.16517448425293,0.151642203330993,0.002281702037413,0.105452396236138,0.565205012654313,0.327060889072133,-0.158618152141571,0.1387939453125,0.233933329582214,107.20186614990234,215.05430603027344,136.8058624267578,17.896347045898438,0.044092062860727,2.020902872085571,0.581098616123199,0.457890331745147,3.8847122192382817,0.101946644484996,0.5957710742950441
BA,The Boeing Co.,000CYC-E,PUBLIC_COMPANY,Robert Ortberg,CEO,CORPORATE_REPRESENTATIVE,Q4 2024,PREPARED_REMARKS,121.13,124.375,We continue to support the airline and the U.,0.0,0.988928611423798,22.023059844970703,0.076158642768859,0.005238514738775,0.076688537906653,0.896900652704921,0.02117229464965,-0.224013447761535,0.085774779319763,-0.107668042182922,122.9228973388672,186.4742431640625,157.47032165527344,17.274843215942383,0.043617267161607,1.9814110994338991,0.629751741886138,0.5022146701812741,3.846153974533081,0.056568540632724,0.6929634213447571
